anchor_layer	mean_abs_corr	min_abs_corr	progen2-medium_feature	progen2-medium_layer	protgpt2_feature	protgpt2_layer	zymctrl_feature	zymctrl_layer
5	0.9992016553878784	0.9988359212875366	1173	4	7782	5	7246	5
5	0.997136135896047	0.995941162109375	3192	4	4696	5	1093	5
30	0.9965039292971293	0.9949706792831421	1116	22	524	30	5517	30
12	0.994644820690155	0.9921011924743652	198	9	3713	12	2312	12
30	0.9940570791562399	0.9916401505470276	1427	22	1222	30	5982	30
12	0.9919945597648621	0.9880761504173279	1485	9	5856	12	383	12
5	0.9906115333239237	0.9868234395980835	849	4	7877	5	1162	5
30	0.985398014386495	0.9803431630134583	346	22	1371	30	5319	30
5	0.9806509216626486	0.9773304462432861	791	4	5698	5	4254	5
12	0.9821515878041586	0.9729925394058228	3276	9	2377	12	6518	12
12	0.9755457441012064	0.9724106788635254	3658	9	5643	12	7911	12
12	0.9788155953089396	0.9722421765327454	2970	9	1064	12	7369	12
30	0.9783964355786642	0.9692437052726746	3831	22	2412	30	3602	30
30	0.9777299563090006	0.9668936729431152	2878	22	403	30	4636	30
30	0.9764052828152975	0.9654037952423096	1820	22	792	30	2831	30
5	0.9756937623023987	0.9650228023529053	3747	4	4529	5	3537	5
12	0.9762444098790487	0.964576780796051	3478	9	4108	12	6886	12
12	0.9730742375055949	0.9637912511825562	2576	9	6322	12	2485	12
5	0.9734955827395121	0.9636136889457703	1266	4	1553	5	3683	5
12	0.9748840729395548	0.9626450538635254	3995	9	253	12	2228	12
12	0.9737100203831991	0.9616883993148804	3092	9	1097	12	7546	12
12	0.9704969525337219	0.9593837857246399	1348	9	7603	12	3109	12
30	0.9728681246439616	0.9587225914001465	2121	22	210	30	1271	30
5	0.9698346058527628	0.9557958841323853	2285	4	8144	5	4677	5
30	0.9693302710851034	0.9547032117843628	2431	22	155	30	2734	30
30	0.9691376487414042	0.953764021396637	1224	22	771	30	166	30
30	0.9665294090906779	0.9530808925628662	2085	22	6317	30	6811	30
5	0.9637472629547119	0.9511821269989014	3212	4	1397	5	1109	5
30	0.9650799632072449	0.9510179162025452	1890	22	1056	30	2909	30
12	0.9663516879081726	0.9502952694892883	2343	9	6160	12	4162	12
12	0.9607128699620565	0.9404901266098022	222	9	5470	12	7936	12
5	0.9502281347910563	0.9265597462654114	2368	4	5581	5	2436	5
5	0.9455801049868265	0.9194800853729248	1407	4	6752	5	7880	5
5	0.9358855287233988	0.9115129709243774	3155	4	5510	5	2601	5
5	0.9387921094894409	0.910606861114502	1674	4	5838	5	3381	5
12	0.9331896901130676	0.9045736193656921	2816	9	6034	12	1810	12
5	0.9291730324427286	0.9023014307022095	3826	4	1295	5	6140	5
5	0.9350451827049255	0.9011171460151672	3541	4	3380	5	5619	5
