triplet_id	n_top_position_rows	profile_class	mean_position_norm	bucket_0_0_0_2	bucket_0_2_0_4	bucket_0_4_0_6	bucket_0_6_0_8	bucket_0_8_1_0	positional_q	signature
T001	100	non-trivial	0.43942846	26	36	0	15	23	0.0014608080575097065	k-mer+positional+high-norm
T002	100	non-trivial	0.595228685	6	19	20	33	22	0.0027927212864156154	k-mer+positional+high-norm
T003	100	non-trivial	0.57466916	14	5	14	61	6	0.0014608080575097065	positional+high-norm
T004	100	non-trivial	0.55158601	9	23	3	49	16	0.0014608080575097065	k-mer+positional+high-norm
T005	100	non-trivial	0.414806805	25	37	6	24	8	0.0014608080575097065	positional
T006	100	bimodal	0.465664332	32	20	10	5	33	0.0014608080575097065	k-mer+positional+high-norm
T007	100	non-trivial	0.568403416	21	10	18	15	36	0.009263660852500579	k-mer+positional+high-norm
T008	100	non-trivial	0.408336745	27	30	17	14	12	0.00633016824920873	k-mer+positional+high-norm
T009	100	non-trivial	0.708423303	1	13	11	34	41	0.0014608080575097065	positional
T010	100	non-trivial	0.572196071	10	15	23	31	21	0.01766558581174529	positional
T011	100	N-term-enriched	0.0081052008	100	0	0	0	0	0.0014608080575097065	k-mer+positional+attention-sink
T012	100	non-trivial	0.350049048	32	23	30	14	1	0.0014608080575097065	k-mer+positional+high-norm
T013	100	non-trivial	0.59703463	10	18	24	18	30	0.010296056790881667	positional+high-norm
T014	100	non-trivial	0.4410657176	17	27	31	19	6	0.0014608080575097065	positional+high-norm
T015	100	non-trivial	0.332820345	35	32	16	17	0	0.0014608080575097065	k-mer+positional
T017	100	non-trivial	0.6607158320000001	4	4	30	27	35	0.0014608080575097065	k-mer+positional+bpe-boundary+high-norm
T018	100	N-term-enriched	0.0079239347	100	0	0	0	0	0.0014608080575097065	k-mer+positional+attention-sink
T019	100	non-trivial	0.555221959	21	12	17	18	32	0.003902158509786203	k-mer+positional
T020	100	non-trivial	0.6700672900000001	0	6	29	39	26	0.0014608080575097065	k-mer+positional+high-norm
T021	100	N-term-enriched	0.202360184	69	14	9	4	4	0.0014608080575097065	k-mer+positional+high-norm
T022	100	non-trivial	0.488056348	24	30	7	12	27	0.022659124982963064	k-mer+positional+high-norm
T023	100	N-term-enriched	0.0085043251	100	0	0	0	0	0.0014608080575097065	k-mer+positional+attention-sink
T024	100	non-trivial	0.35904016499999997	41	22	15	5	17	0.0014608080575097065	positional+high-norm
T025	100	non-trivial	0.5451499	0	31	28	27	14	0.0014608080575097065	k-mer+positional+attention-sink
T026	100	C-term-enriched	0.648589635	21	5	7	17	50	0.0014608080575097065	positional+high-norm
T027	100	non-trivial	0.6251490900000001	8	18	5	51	18	0.0014608080575097065	k-mer+positional+high-norm
T028	100	non-trivial	0.38784524499999995	39	16	11	29	5	0.0014608080575097065	k-mer+positional
T029	100	non-trivial	0.593813876	4	5	43	32	16	0.0014608080575097065	k-mer+positional+high-norm
T030	100	non-trivial	0.53362129	8	29	22	17	24	0.011303871873587017	k-mer+positional
T031	100	N-term-enriched	0.248325704	52	33	7	3	5	0.0014608080575097065	k-mer+positional+high-norm
T032	100	non-trivial	0.4933976581	28	6	17	36	13	0.025320672996834916	positional
T033	100	non-trivial	0.33910465799999995	38	32	12	8	10	0.0014608080575097065	k-mer+positional+high-norm
T034	100	N-term-enriched	0.281908657	61	22	0	1	16	0.0014608080575097065	k-mer+positional+high-norm
T035	100	non-trivial	0.431605949	42	13	12	11	22	0.0014608080575097065	positional+high-norm
T036	100	non-trivial	0.342255886	13	61	17	8	1	0.0014608080575097065	k-mer+positional+high-norm
