triplet_id	rank	assigned_category	n_significant	significant_tests	signature	cluster	k_mer_q	positional_q	bpe_boundary_q	attention_sink_q	high_norm_q	attention_r	hidden_norm_r	kmer_best_k	kmer_mi_nats	positional_ks
T001	1	positional	3	k-mer;positional;high-norm	k-mer+positional+high-norm	multi-entangled kmer+positional+high-norm	0.022659124982963064	0.0014608080575097065	1.0	0.4577198580197081	0.0014608080575097065	0.00018599298675521687	0.06359785560075154	3	0.008486252870242442	0.2635406804084778
T002	2	k-mer	3	k-mer;positional;high-norm	k-mer+positional+high-norm	multi-entangled kmer+positional+high-norm	0.0014608080575097065	0.0027927212864156154	0.6793889876767043	1.0	0.0014608080575097065	-0.002694465296542583	0.0243610850875999	3	0.010510302810214537	0.2014960479736328
T003	3	positional	2	positional;high-norm	positional+high-norm	positional+high-norm	0.05207073882413632	0.0014608080575097065	0.5619321486797585	1.0	0.04334789127175543	-0.005478008148454926	0.00729662726216344	5	0.014216846599993461	0.27189188480377197
T004	4	positional	3	k-mer;positional;high-norm	k-mer+positional+high-norm	multi-entangled kmer+positional+high-norm	0.008308345827086457	0.0014608080575097065	1.0	1.0	0.0014608080575097065	-0.001662110108750387	0.04989811955231182	5	0.01430584634976092	0.25178118944168093
T005	5	positional	1	positional	positional	positional-only	0.3603109159705861	0.0014608080575097065	0.7874634111515671	1.0	0.13388305847076462	-0.001689473196228317	0.005192107560458466	5	0.014021270636170728	0.2294422352313995
T006	6	k-mer	3	k-mer;positional;high-norm	k-mer+positional+high-norm	multi-entangled kmer+positional+high-norm	0.0014608080575097065	0.0014608080575097065	1.0	1.0	0.0014608080575097065	-0.00032162199376317794	0.060985330578653664	3	0.008685640451084015	0.2206269693374634
T007	7	k-mer	3	k-mer;positional;high-norm	k-mer+positional+high-norm	multi-entangled kmer+positional+high-norm	0.0014608080575097065	0.009263660852500579	1.0	0.33538276733193034	0.0014608080575097065	0.0020050062364009393	0.048405218546749645	3	0.009403931765142199	0.17326087474822993
T008	8	high-norm	3	k-mer;positional;high-norm	k-mer+positional+high-norm	multi-entangled kmer+positional+high-norm	0.02608585816981619	0.00633016824920873	1.0	1.0	0.0014608080575097065	-0.0022046891285065332	0.019995469051106392	5	0.0142608595381912	0.18733332157135008
T009	9	positional	1	positional	positional	positional-only	0.5182825254039647	0.0014608080575097065	0.667658296835834	1.0	1.0	-0.010807406297527104	-0.0027719070844777548	3	0.00811969903839951	0.3667153310775757
T010	10	positional	1	positional	positional	positional-only	0.06096951524237881	0.01766558581174529	0.4534801564734874	1.0	0.1304398305897556	-0.0029484327190826146	0.005738436556494906	5	0.014205407763746401	0.1592537260055542
