model	condition	condition_kind	control_for	n_sequences	mean_delta_nll_first2	delta_nll_first2_ci_low	delta_nll_first2_ci_high	mean_delta_nll_pos2_10	delta_nll_pos2_10_ci_low	delta_nll_pos2_10_ci_high	mean_delta_nll_pos3_10	delta_nll_pos3_10_ci_low	delta_nll_pos3_10_ci_high	mean_delta_nll_pos11_plus	delta_nll_pos11_plus_ci_low	delta_nll_pos11_plus_ci_high	mean_specificity_pos2_10_minus_11plus	specificity_pos2_10_minus_11plus_ci_low	specificity_pos2_10_minus_11plus_ci_high	mean_attention_first2_delta	mean_attention_cosine_distance	mean_feature_first2_active
progen2-medium	RND_T011_0	random	T011	200	0.0	0.0	0.0	-1.4598171500000001e-06	-1.5866856e-05	1.148740455e-05	-1.6422942999999996e-06	-1.7850213e-05	1.29233301e-05	-2.9855576583799987e-05	-0.00017499391837319753	0.00010096010771299999	2.8395759683799982e-05	-0.000105628776837155	0.000172951905109045	-5.12599944436e-06	1.2342357111539194e-09	0.0
progen2-medium	RND_T011_1	random	T011	200	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.110223e-17	0.0
progen2-medium	RND_T018_0	random	T018	200	0.0	0.0	0.0	-3.876321879999999e-05	-0.000206399033575	0.00011990703236499995	-4.360861915e-05	-0.0002321989062125	0.00013489541125749998	-6.8029578881e-05	-0.00018332853884865002	4.5156139009499975e-05	2.926635982099999e-05	-0.00015851212017245004	0.00021597101452036247	-2.0647421532950002e-06	1.2909446810731114e-09	0.0
progen2-medium	RND_T018_1	random	T018	200	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.110223e-17	0.0
progen2-medium	RND_T023_0	random	T023	200	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.7627916262000007e-05	-6.314449057691247e-05	0.00011218623706832494	-2.7627916262000007e-05	-0.000112186237068325	6.314449057691247e-05	9.724050774027e-06	2.5119757423162317e-09	0.0
progen2-medium	RND_T023_1	random	T023	200	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.9459635e-06	0.0	5.841781883749996e-06	-1.9459635e-06	-5.8417818837499996e-06	0.0	-1.06915835e-08	2.0638895932055e-12	0.0
progen2-medium	T011	target		200	0.0	0.0	0.0	-4.090060324449987e-05	-0.0010045421989623626	0.0010067240024040248	-4.6013184377499963e-05	-0.0011301099820515625	0.0011325645015711249	-0.000154072568029	-0.00032686029077875	6.44487524879997e-06	0.00011317197736500001	-0.000861412073704375	0.0011735631024212493	-2.2888182800999987e-07	5.23023458885e-09	0.985
progen2-medium	T018	target		200	0.0	0.0	0.0	0.00019283298819500004	-0.0007070060910463751	0.0010819670213796245	0.0002169371220050001	-0.000795381835961375	0.0012172129167063747	-1.1674035588500002e-05	-0.00019536588714192497	0.00019572699657074996	0.00020450703106950012	-0.0006956610663733624	0.0011218958621235994	-3.981765357255e-05	2.213466276275e-08	0.985
progen2-medium	T023	target		200	0.0	0.0	0.0	0.0003270199207550001	-0.0004792851472031251	0.0011701785814169996	0.00036789741561500005	-0.0005391957880343751	0.00131645090596825	5.006838792200003e-05	-0.00011976575567219997	0.00023193390235709996	0.0002769515256300001	-0.0005590970837519998	0.0011366830670925	-2.227121958425e-05	2.81560076271e-08	0.985
progen2-medium	T025	specificity		200	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-2.27595715e-17	0.0
protgpt2	RND_T011_0	random	T011	200	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	9.075622e-06	0.0	2.7226866e-05	-9.121228140703518e-06	-2.736368442211055e-05	0.0	4.7683716e-09	1.1112174909759501e-11	0.0
protgpt2	RND_T011_1	random	T011	200	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	-1.1637877499999998e-06	-1.0062183e-05	6.5708197500000005e-06	1.169635929648241e-06	-6.6038389447236186e-06	1.0112746733668343e-05	2.7835368999999994e-07	4.2125597854648e-11	0.0
protgpt2	RND_T018_0	random	T018	200	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-2.72004635e-17	0.0
protgpt2	RND_T018_1	random	T018	200	nan	nan	nan	-3.5862627135678395e-06	-1.0758788140703518e-05	0.0	-3.5862627135678395e-06	-1.0758788140703518e-05	0.0	6.173295999999996e-07	-3.3863085853749996e-05	4.004134579125e-05	-4.20669457286432e-06	-4.559145950251256e-05	3.125437959045225e-05	3.3140182035e-07	1.3652976912509396e-10	0.0
protgpt2	RND_T023_0	random	T023	200	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.6653345e-17	0.0
protgpt2	RND_T023_1	random	T023	200	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.6653345e-17	0.0
protgpt2	T011	target		200	nan	nan	nan	0.00016352628628693472	-0.00027249216387322867	0.0006452651337997235	0.00016352628628693472	-0.00027249216387322867	0.0006452651337997235	-0.00017635294920199994	-0.0004915121752361749	0.00011793478812245003	0.00035239078973869345	-0.000139961556870603	0.0008550995486742461	-0.0001545399430335	1.2200805299e-08	1.0
