model	condition	condition_kind	control_for	n_sequences	head_layer	head	paired_mean_first2_mass	paired_corr_with_feature	mean_delta_nll_pos2_10	delta_nll_pos2_10_ci_low	delta_nll_pos2_10_ci_high	mean_delta_nll_pos11_plus	mean_specificity_pos2_10_minus_11plus	specificity_pos2_10_minus_11plus_ci_low	specificity_pos2_10_minus_11plus_ci_high	mean_attention_first2_delta	mean_attention_cosine_distance	mean_feature_first2_drop_fraction	feature_first2_drop_fraction_ci_low	feature_first2_drop_fraction_ci_high
progen2-medium	RND_T011_0	random_head	T011	200	11	8	nan	nan	-0.0009840629406850001	-0.0022543532728049997	0.00020178298635499994	0.00837747780377	-0.00936154079185	-0.01373054447144625	-0.0060356292911025	0.0013868131346200002	1.52111292152e-05	nan	nan	nan
progen2-medium	RND_T018_0	random_head	T018	200	11	6	nan	nan	-0.0007593964566099999	-0.0019242881021535	0.00046622273815337476	0.0020836217570345	-0.002843018171187	-0.004226978729984175	-0.0013163442397938502	0.00035587914761199996	2.57563699625e-06	nan	nan	nan
progen2-medium	RND_T023_0	random_head	T023	200	11	4	nan	nan	-0.00038697453620000004	-0.0018367590274887496	0.0011123833913174997	0.0057443968992015	-0.006131371441335	-0.00914895801623925	-0.0034804069100616256	-0.00036667749220400004	2.4590018126e-05	nan	nan	nan
progen2-medium	SHAM	sham		200	0	0	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.7763568e-17	nan	nan	nan
progen2-medium	T011	target		200	11	3	0.94305706	0.40347608	-0.0010753105439565	-0.0022448371865048376	8.218132889437468e-05	4.846238163250001e-05	-0.0011237729374499999	-0.0023280209982124997	3.5030140701999946e-05	-0.00030349396052	8.287459949100001e-07	0.0	0.0	0.0
progen2-medium	T018	target		200	11	3	0.94305706	0.39855004	-0.0010753105439565	-0.0021725503363342878	0.00021057687525519953	4.846238163250001e-05	-0.0011237729374499999	-0.00224043640604275	0.00010673967909249974	-0.00030349396052	8.287459949100001e-07	0.0	0.0	0.0
progen2-medium	T023	target		200	11	3	0.94305706	0.34619039	-0.0010753105439565	-0.0022735432137038	0.00010899182161375009	4.846238163250001e-05	-0.0011237729374499999	-0.00236465767261975	8.366151624899947e-05	-0.00030349396052	8.287459949100001e-07	-0.0001400445277035	-0.0001536754103278375	-0.00012686680830547502
progen2-medium	T025	specificity		200	11	3	0.94305706	nan	-0.0010753105439565	-0.0022971843841720877	0.00016392486646658717	4.846238163250001e-05	-0.0011237729374499999	-0.002399575552418	0.00011301481532274974	-0.00030349396052	8.287459949100001e-07	0.0	0.0	0.0
protgpt2	RND_T011_0	random_head	T011	200	4	8	nan	nan	0.0011338877194974875	7.764590331281426e-06	0.0028142709786493705	0.06573957764145	-0.06458454530633667	-0.07650282101306032	-0.054280153529668335	2.87296824e-05	1.21156643587e-06	nan	nan	nan
protgpt2	RND_T018_0	random_head	T018	200	4	6	nan	nan	0.00034153381139195984	-0.0004474381064580401	0.0011743281701865576	0.0270369809537	-0.026743689692562817	-0.03382115165499371	-0.020791439491520104	-0.0001175965711935	3.07759848745e-07	nan	nan	nan
protgpt2	RND_T023_0	random_head	T023	200	32	4	nan	nan	0.00037016623216432163	-0.0003490546699158291	0.00126434647214451	0.00018917332396000005	0.0001624138354371858	-0.001838644058877764	0.0023282289071456025	-0.000865093925914939	3.3690588802849994e-07	nan	nan	nan
protgpt2	SHAM	sham		200	0	0	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-2.0539125499999998e-17	nan	nan	nan
protgpt2	T011	target		200	4	15	0.96611973	0.62417077	0.0004771474952339699	2.6488244062439713e-05	0.001038347391727417	-0.0136540412529	0.014227487926130654	0.007661421572463569	0.018840769700342968	-4.6430191652999996e-05	2.8043666138e-07	-0.00017746142563700002	-0.00022326099189444999	-0.00013195690978392503
protgpt2	T018	target		200	4	15	0.96611973	0.62507157	0.0004771474952339699	8.002125957047786e-06	0.001021282907645683	-0.0136540412529	0.014227487926130654	0.007718033458350507	0.0189506295557902	-4.6430191652999996e-05	2.8043666138e-07	-0.000335396364139	-0.00037821741830455	-0.00028809734684835
protgpt2	T023	target		200	32	16	0.95354988	0.17183759	0.0004396465963150754	-0.00015057734887914583	0.001042563962808957	0.0011909328968969	-0.0007901016700954773	-0.0021919029530027634	0.0004255491500570351	-0.00022871714839465	9.619287840900001e-08	0.0	0.0	0.0
protgpt2	T025	specificity		200	35	10	0.81619557	0.63039109	-0.0002206799641909546	-0.0021433297883211057	0.0028300527660258794	0.05104870365990001	-0.05166256727231156	-0.05916243882271106	-0.04417352999582789	0.0	-3.9968028e-17	0.0	0.0	0.0
zymctrl	RND_T011_0	random_head	T011	200	23	8	nan	nan	-0.03967731969055	-0.042849479281689994	-0.0368211787286375	0.0002763754360176	-0.0399536951275	-0.0431357896654875	-0.037108286037250006	-6.38954947896e-05	2.8223295778999997e-06	nan	nan	nan
zymctrl	RND_T018_0	random_head	T018	200	23	6	nan	nan	0.01177629955605	0.009057721457585	0.014930132565298751	-2.170894560949999e-05	0.011798008497	0.0090650001451425	0.014943091097405	5.771550187000001e-06	1.5351658472999998e-06	nan	nan	nan
zymctrl	RND_T023_0	random_head	T023	200	23	4	nan	nan	-0.011182111596155	-0.0160146142815525	-0.0070933418405793765	-0.0003872070735837	-0.010794904549214999	-0.01555556884973	-0.006701384706227376	-0.0004986231816945	3.6695461745e-06	nan	nan	nan
zymctrl	SHAM	sham		200	0	0	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-3.885780500000001e-18	nan	nan	nan
zymctrl	T011	target		200	23	19	0.89586855	-0.082790659	0.00713555125435	0.0013444561898575001	0.013007300956764998	0.00021711855315465	0.006918432749184999	0.0011059292400008756	0.012808346197192125	0.0007442658603124999	5.9498564199e-05	0.0	0.0	0.0
zymctrl	T018	target		200	23	19	0.89586855	0.048766709	0.00713555125435	0.0013485793721462497	0.013083697803613748	0.00021711855315465	0.006918432749184999	0.0010986309414232503	0.012825336647336748	0.0007442658603124999	5.9498564199e-05	0.0	0.0	0.0
zymctrl	T023	target		200	23	19	0.89586855	0.14520754	0.00713555125435	0.0017451541583837502	0.012480939001128748	0.00021711855315465	0.006918432749184999	0.0015217707148808756	0.012216379769923751	0.0007442658603124999	5.9498564199e-05	-0.0052936842880000005	-0.005373134186987501	-0.0052113202426
zymctrl	T025	specificity		200	23	19	0.89586855	nan	0.00713555125435	0.0020115611666762507	0.012998661793589992	0.00021711855315465	0.006918432749184999	0.0017629727477991254	0.012839186419757497	0.0007442658603124999	5.9498564199e-05	0.0	0.0	0.0
