model	condition	condition_kind	n_sequences	n_heads_ablated	head_set	mean_delta_nll_pos2_10	delta_nll_pos2_10_ci_low	delta_nll_pos2_10_ci_high	mean_delta_nll_pos11_plus	delta_nll_pos11_plus_ci_low	delta_nll_pos11_plus_ci_high	mean_specificity_pos2_10_minus_11plus	specificity_pos2_10_minus_11plus_ci_low	specificity_pos2_10_minus_11plus_ci_high	mean_attention_first2_delta	attention_first2_delta_ci_low	attention_first2_delta_ci_high	mean_attention_cosine_distance	attention_cosine_distance_ci_low	attention_cosine_distance_ci_high	mean_mean_feature_drop_fraction	mean_feature_drop_fraction_ci_low	mean_feature_drop_fraction_ci_high	mean_min_feature_drop_fraction	min_feature_drop_fraction_ci_low	min_feature_drop_fraction_ci_high
progen2-medium	RANDOM_SET_0	random_set	200	8	L11H9;L13H11;L11H5;L7H8;L6H7;L6H12;L5H13;L6H8	0.0013445489027499999	-0.00086203325207375	0.00375863449441875	0.036561651315474994	0.030122493728306873	0.04427570554392501	-0.03521710234717	-0.04266272030868801	-0.028556839377723124	0.00042635701302999997	6.031113718474999e-05	0.0008452040630450001	0.00010836348285849999	7.882017215600001e-05	0.00015018539784078752	0.000598993262345	0.0004679661308081251	0.0007171970294862501	-0.00061571439059	-0.0007232076981134999	-0.0005128119861771249
progen2-medium	RANDOM_SET_1	random_set	200	8	L11H10;L13H12;L11H4;L7H1;L6H4;L6H6;L5H4;L6H10	-0.001455495235	-0.003790001431056249	0.0007085641298474998	0.028802574347450004	0.02391505445717	0.03462212067493751	-0.0302580695867	-0.0366788307129075	-0.024495468810666245	0.000965014183255	0.0007469761607582499	0.0011873642331953747	2.9066309046500003e-05	2.2450087873512496e-05	3.627143048291249e-05	-0.00022083630266400003	-0.0002370535392095	-0.00020414655530615	-0.00079212064275	-0.0008232501541062501	-0.0007598289318087501
progen2-medium	RANDOM_SET_2	random_set	200	8	L11H2;L13H9;L11H15;L7H4;L6H13;L6H10;L5H0;L6H1	0.00257726629385	0.000556998933595	0.004605332473814998	0.023245361772999996	0.01833669695047	0.028480581523996247	-0.0206680954891	-0.0261678976135575	-0.014828544109678753	0.00174886441204	0.00149630012614475	0.001997392931448	3.190806066099999e-05	2.3075473361875e-05	4.235393497445e-05	-0.00014368461761000002	-0.00020801319637325002	-8.936474997712503e-05	-0.0020541508016499997	-0.0021633357045912497	-0.001950652590835
progen2-medium	SHAM	sham	200	0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.7763568e-17	-3.77614597875e-17	2.2343237874999866e-18	0.0	0.0	0.0	0.0	0.0	0.0
progen2-medium	SINK_SET	sink_set	200	8	L11H3;L13H2;L11H13;L7H13;L6H3;L6H11;L5H15;L6H0	0.002012863473855	0.00016792879219587484	0.003886571945920375	0.0112528673587	0.0074583537018137495	0.015434609276742499	-0.009240003886075	-0.014265737167846251	-0.0043040468553675005	-0.00158341997938	-0.001811697516427125	-0.001356534930242875	5.0901613649e-05	3.80515374857125e-05	6.663387834954999e-05	-0.0011957445900499998	-0.00127468173946125	-0.0011202420163062498	-0.0021490726315	-0.0022129507211	-0.0020860987158374997
protgpt2	RANDOM_SET_0	random_set	200	8	L4H16;L11H13;L8H9;L4H11;L25H9;L20H5;L5H17;L23H8	0.0008386603222060303	-0.0020981792024825376	0.004669932973519221	0.0339641724647	0.022700323999321252	0.04656517554269625	-0.031988675341251264	-0.04452242298156155	-0.020771971071521483	-0.0009676448484699999	-0.001051822221319375	-0.00088417124595575	1.09867187375e-06	7.964320232150001e-07	1.64888401071875e-06	-0.00023914886581	-0.00032738329703699997	-0.00014881163434025003	-0.000698246564625	-0.00079221523894425	-0.00060999870797275
protgpt2	RANDOM_SET_1	random_set	200	8	L4H3;L11H0;L8H7;L4H12;L25H8;L20H16;L5H10;L23H12	5.190496056281506e-06	-0.0014554288556500002	0.0013118267816767334	-0.06609574728272	-0.089553967813077	-0.04287214010922401	0.06505713546160805	0.04282757199108543	0.08857140904798994	-0.0020723462480099998	-0.0022964302800955	-0.0018580756218425	6.228728660749999e-06	4.5021020381225e-06	8.701033334053749e-06	-0.000514712493726	-0.0005951772523701375	-0.00042476675444828746	-0.001123932456895	-0.0012294528671035	-0.0010094302925648748
protgpt2	RANDOM_SET_2	random_set	200	8	L4H17;L11H1;L8H4;L4H6;L25H4;L20H17;L5H17;L23H6	0.001906745252512563	-0.0005870716193944722	0.005086083018831658	0.0022828243274149993	-0.012328138678035373	0.016664720010723	-0.0005772807161407039	-0.013498011136203516	0.013819861143459296	-0.0011461440118684999	-0.0013249688752811999	-0.0009665438441429627	2.2785052022e-06	1.8437779163437499e-06	2.87886857054625e-06	9.516454333799998e-05	-6.817082309787502e-06	0.000199258270886075	-0.0004354467646535	-0.000516353303947875	-0.0003566839405572125
protgpt2	SHAM	sham	200	0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-2.0539125499999998e-17	-3.83026935e-17	-2.220446e-18	0.0	0.0	0.0	0.0	0.0	0.0
protgpt2	SINK_SET	sink_set	200	8	L4H15;L11H14;L8H17;L4H4;L25H13;L20H11;L5H1;L23H4	0.00023735195726633107	-0.0026565723404391958	0.002126527394025377	0.039054516810300005	0.028020508063432505	0.04949476810904	-0.039608290866834164	-0.05069306491334172	-0.028775047269761305	-0.0026832411984999997	-0.0028832896937749995	-0.00250236997088	2.97229093175e-06	2.6117045505900005e-06	3.4541139202837495e-06	-0.00048500455267499993	-0.00060795388624	-0.00033899596679875	-0.0012063117991950002	-0.00132107914546225	-0.00108293010605125
zymctrl	RANDOM_SET_0	random_set	200	8	L23H16;L21H13;L27H9;L26H11;L27H5;L32H17;L14H8;L33H0	0.275427496085	0.25543118345312504	0.295232482465875	0.0055257997470500005	0.004398375903153625	0.0068269137125282495	0.269901696305	0.24972034391350004	0.289860033316375	-0.0007902836042854999	-0.0008649955837831249	-0.0007054740977801251	1.347809389e-05	1.2645249350524998e-05	1.4327926981525001e-05	-0.002839516735	-0.0028849078436124997	-0.0027982322996124996	-0.008518550199500001	-0.008654723532675001	-0.008394696903125
zymctrl	RANDOM_SET_1	random_set	200	8	L23H7;L21H12;L27H13;L26H16;L27H10;L32H12;L14H4;L33H17	-0.32285629104999997	-0.33533781585625	-0.3113500343925	-1.6615424160000003e-05	-0.0010350170808240001	0.0008354741448702499	-0.32283967555000004	-0.33524025344875	-0.311271596225	-0.001141145672085	-0.0011992742005878748	-0.0010842804196889999	4.7444198309999995e-06	4.4952776618e-06	4.9839066388874995e-06	-0.001711339788	-0.0017641610804124998	-0.0016551035574	-0.0051340193415	-0.0052924832245875	-0.0049653106438
