triplet_id	rank	min_abs_corr	best_label	best_mi_nats	best_rich_label	best_rich_mi_nats	best_rich_ci95	gate
T001	1	0.998836	dominant_pfam	0.00318807	dominant_pfam	0.00318807	[0.00209, 0.005164]	below_gate
T002	2	0.995941	dominant_pfam	0.00454378	dominant_pfam	0.00454378	[0.002186, 0.006857]	below_gate
T003	3	0.994971	pfam_family	0.00314752	pfam_family	0.00314752	[0.002127, 0.005362]	below_gate
T004	4	0.992101	dominant_pfam	0.0032425	dominant_pfam	0.0032425	[0.001685, 0.005258]	below_gate
T005	5	0.99164	dominant_pfam	0.00357832	dominant_pfam	0.00357832	[0.001905, 0.005466]	below_gate
T006	6	0.988076	pfam_family	0.00324971	pfam_family	0.00324971	[0.002496, 0.004872]	below_gate
T007	7	0.986823	pfam_family	0.00306233	pfam_family	0.00306233	[0.001919, 0.004957]	below_gate
T008	8	0.980343	pfam_family	0.00323367	pfam_family	0.00323367	[0.002305, 0.005421]	below_gate
T009	9	0.97733	dominant_pfam	0.00176604	dominant_pfam	0.00176604	[0.00158, 0.003854]	below_gate
T010	10	0.972993	dominant_pfam	0.00298471	dominant_pfam	0.00298471	[0.00231, 0.005077]	below_gate
T011	11	0.972411	dominant_pfam	0.0013596	dominant_pfam	0.0013596	[0.001964, 0.0037]	below_gate
T012	12	0.972242	dominant_pfam	0.00329787	dominant_pfam	0.00329787	[0.00218, 0.005241]	below_gate
T013	13	0.969244	pfam_family	0.0026799	pfam_family	0.0026799	[0.001868, 0.005303]	below_gate
T014	14	0.966894	dominant_pfam	0.00279337	dominant_pfam	0.00279337	[0.002086, 0.00521]	below_gate
T015	15	0.965404	pfam_family	0.00276038	pfam_family	0.00276038	[0.002161, 0.004831]	below_gate
T016	16	0.965023	dominant_pfam	0.0027583	dominant_pfam	0.0027583	[0.001893, 0.004887]	below_gate
T017	17	0.964577	dominant_pfam	0.00408011	dominant_pfam	0.00408011	[0.00282, 0.006712]	below_gate
T018	18	0.963791	dominant_pfam	0.0013866	dominant_pfam	0.0013866	[0.001991, 0.003737]	below_gate
T019	19	0.963614	dominant_pfam	0.00263336	dominant_pfam	0.00263336	[0.002396, 0.004611]	below_gate
T020	20	0.962645	dominant_pfam	0.00348535	dominant_pfam	0.00348535	[0.002113, 0.005021]	below_gate
T021	21	0.961688	dominant_pfam	0.00303975	dominant_pfam	0.00303975	[0.002331, 0.004825]	below_gate
T022	22	0.959384	dominant_pfam	0.00275439	dominant_pfam	0.00275439	[0.002822, 0.004643]	below_gate
T023	23	0.958723	dominant_pfam	0.00138659	dominant_pfam	0.00138659	[0.001914, 0.003566]	below_gate
T024	24	0.955796	dominant_pfam	0.00250664	dominant_pfam	0.00250664	[0.001954, 0.004405]	below_gate
T025	25	0.954703	dominant_pfam	0.00279663	dominant_pfam	0.00279663	[0.002126, 0.004265]	below_gate
T026	26	0.953764	pfam_family	0.00255201	pfam_family	0.00255201	[0.001715, 0.004231]	below_gate
T027	27	0.953081	dominant_pfam	0.00275651	dominant_pfam	0.00275651	[0.002033, 0.004501]	below_gate
T028	28	0.951182	dominant_pfam	0.00398308	dominant_pfam	0.00398308	[0.002587, 0.006851]	below_gate
T029	29	0.951018	dominant_pfam	0.00370906	dominant_pfam	0.00370906	[0.002407, 0.006825]	below_gate
T030	30	0.950295	pfam_family	0.00403366	pfam_family	0.00403366	[0.002475, 0.005891]	below_gate
T031	31	0.94049	dominant_pfam	0.00300457	dominant_pfam	0.00300457	[0.002147, 0.004391]	below_gate
T032	32	0.92656	dominant_pfam	0.00379465	dominant_pfam	0.00379465	[0.002582, 0.005819]	below_gate
T033	33	0.91948	dominant_pfam	0.00223909	dominant_pfam	0.00223909	[0.001682, 0.004237]	below_gate
T034	34	0.911513	dominant_pfam	0.00283422	dominant_pfam	0.00283422	[0.002624, 0.004662]	below_gate
T035	35	0.910607	dominant_pfam	0.00254498	dominant_pfam	0.00254498	[0.001865, 0.004514]	below_gate
T036	36	0.904574	dominant_pfam	0.00348535	dominant_pfam	0.00348535	[0.002413, 0.004967]	below_gate
T037	37	0.902301	dominant_pfam	0.00260988	dominant_pfam	0.00260988	[0.001928, 0.004564]	below_gate
T038	38	0.901117	dominant_pfam	0.00222802	dominant_pfam	0.00222802	[0.002223, 0.004285]	below_gate
